timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751228919364,400,/web/index.php/performance/viewPerformanceTracker-254,200,OK,TG_performance 1-4,text,true,,3210,893,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceTracker,400,0,0
1751228920824,335,/web/index.php/api/v2/performance/config/trackers-257,200,OK,TG_performance 1-4,text,true,,2999,862,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&sortField=performanceTracker.modifiedDate&sortOrder=DESC,334,0,0
1751228922228,585,/web/index.php/api/v2/performance/config/trackers-262,200,OK,TG_performance 1-4,text,true,,1419,876,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&empNumber=202&sortField=performanceTracker.modifiedDate&sortOrder=DESC,585,0,0
1751228922751,366,add tracker,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-3,,true,,3205,883,5,5,null,0,1020,0
1751228922751,366,/web/index.php/performance/addPerformanceTracker-263,200,OK,TG_performance 1-3,text,true,,3205,883,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/addPerformanceTracker,366,0,0
1751228920224,1107,click performance tracker,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-2,,true,,7628,2631,5,5,null,0,3084,0
1751228920224,428,/web/index.php/performance/viewPerformanceTracker-254,200,OK,TG_performance 1-2,text,true,,3210,893,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceTracker,428,0,0
1751228921696,342,/web/index.php/api/v2/performance/config/trackers-257,200,OK,TG_performance 1-2,text,true,,2999,862,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&sortField=performanceTracker.modifiedDate&sortOrder=DESC,342,0,0
1751228923068,337,/web/index.php/api/v2/performance/config/trackers-262,200,OK,TG_performance 1-2,text,true,,1419,876,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&empNumber=203&sortField=performanceTracker.modifiedDate&sortOrder=DESC,337,0,0
1751228923111,414,add tracker,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-1,,true,,3205,883,5,5,null,0,1054,0
1751228923112,414,/web/index.php/performance/addPerformanceTracker-263,200,OK,TG_performance 1-1,text,true,,3205,883,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/addPerformanceTracker,414,0,0
1751228923582,351,add tracker,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-5,,true,,3205,883,5,5,null,0,1042,0
1751228923582,351,/web/index.php/performance/addPerformanceTracker-263,200,OK,TG_performance 1-5,text,true,,3205,883,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/addPerformanceTracker,351,0,0
1751228923815,365,add tracker,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-4,,true,,3205,883,5,5,null,0,1099,0
1751228923815,365,/web/index.php/performance/addPerformanceTracker-263,200,OK,TG_performance 1-4,text,true,,3205,883,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/addPerformanceTracker,364,0,0
1751228924422,354,add tracker,200,"Number of samples in transaction : 1, number of failing samples : 0",TG_performance 1-2,,true,,3205,883,5,5,null,0,1045,0
1751228924422,354,/web/index.php/performance/addPerformanceTracker-263,200,OK,TG_performance 1-2,text,true,,3205,883,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/addPerformanceTracker,354,0,0
1751228924138,3544,save tracker and add log,200,"Number of samples in transaction : 8, number of failing samples : 0",TG_performance 1-3,,true,,25750,6507,5,5,null,0,8477,487
1751228924138,389,/web/index.php/api/v2/performance/config/trackers/14-267,200,OK,TG_performance 1-3,text,true,,1808,913,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers,389,0,0
1751228925541,416,/web/index.php/performance/viewPerformanceTracker-268,200,OK,TG_performance 1-3,text,true,,3210,886,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceTracker,416,0,0
1751228927025,818,/web/index.php/performance/viewEmployeePerformanceTrackerList-272,200,OK,TG_performance 1-3,text,true,,3212,896,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewEmployeePerformanceTrackerList,818,0,487
1751228928878,425,/web/index.php/api/v2/performance/employees/trackers-275,200,OK,TG_performance 1-3,text,true,,4286,895,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/employees/trackers?limit=50&offset=0&sortField=tracker.modifiedDate&sortOrder=DESC&includeEmployees=onlyCurrent,425,0,0
